GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
credit-analysis,com.jazztech.creditanalysis.controller.response,CreditAnalysisResponse,24,0,0,0,1,0,1,0,1,0
credit-analysis,com.jazztech.creditanalysis.handler.exceptions,InvalidUUIDException,4,0,0,0,2,0,1,0,1,0
credit-analysis,com.jazztech.creditanalysis.handler.exceptions,ClientNotFoundException,4,0,0,0,2,0,1,0,1,0
credit-analysis,com.jazztech.creditanalysis.model,CreditAnalysisModel.CreditAnalysisModelBuilder,72,0,0,0,1,0,10,0,10,0
credit-analysis,com.jazztech.creditanalysis.model,CreditAnalysisModel,60,0,0,0,12,0,4,0,4,0
credit-analysis,com.jazztech.creditanalysis.controller.request,CreditAnalysisRequest.CreditAnalysisRequestBuilder,36,0,0,0,1,0,6,0,6,0
credit-analysis,com.jazztech.creditanalysis.controller.request,CreditAnalysisRequest,16,0,0,0,3,0,2,0,2,0
credit-analysis,com.jazztech.creditanalysis.service,CreditAnalysisService,200,12,6,0,53,1,11,1,8,1
credit-analysis,com.jazztech.creditanalysis.handler,ControlExceptionHandler,34,3,0,0,10,1,2,1,2,1
credit-analysis,com.jazztech.creditanalysis.mapper,CreditAnalysisMapperImpl,149,3,10,0,43,1,9,1,4,1
credit-analysis,com.jazztech.creditanalysis,CreditAnalysisApplication,5,3,0,0,2,1,1,1,1,1
credit-analysis,com.jazztech.creditanalysis.controller,CreditAnalysisController,14,6,0,0,3,1,3,1,3,1
credit-analysis,com.jazztech.creditanalysis.repository.entity,CreditAnalysisEntity,58,0,0,0,20,0,11,0,11,0
credit-analysis,com.jazztech.creditanalysis.repository.entity,CreditAnalysisEntity.CreditAnalysisEntityBuilder,81,0,0,0,1,0,11,0,11,0
credit-analysis,com.jazztech.creditanalysis.apiclient.ClientDto,ClientDto.ClientDtoBuilder,18,0,0,0,1,0,4,0,4,0
credit-analysis,com.jazztech.creditanalysis.apiclient.ClientDto,ClientDto,10,0,0,0,3,0,2,0,2,0
